"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/01/briefing/us-briefing-hillary-clinton-donald-trump-north-dakota.html","Here’s what you need to know to start your day."," (Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-01T09:49:27+0000","article","NYTNow","Briefing","briefing","nyt://article/a59cdc65-b6af-52eb-896d-137e1ca74ea5",1046,"nyt://article/a59cdc65-b6af-52eb-896d-137e1ca74ea5",NA,"Hillary Clinton, Donald Trump, North Dakota: Your Tuesday Briefing",NA,NA,"",NA,NA,NA,"By Sean Alfano",NA
"It is extremely hard to predict what markets will do in the event of Donald J. Trump winning the presidential election. It can even be hard to tell the election’s impact on the economy.","https://www.nytimes.com/2016/11/02/business/dealbook/trump-markets-economy-merger-currency.html","It is extremely hard to predict what markets will do in the event of Donald J. Trump winning the presidential election. It can even be hard to tell the election’s impact on the economy.","Let’s say Donald J. Trump were elected president. How would markets and the economy react?",NA,NA,"The New York Times","2016-11-01T10:19:45+0000","article","Business","Business Day","News","nyt://article/7bc1c1ec-b4ee-5a3d-8dd0-3775ae2ff35d",584,"nyt://article/7bc1c1ec-b4ee-5a3d-8dd0-3775ae2ff35d","DealBook","Morning Agenda: Markets and Trump, Time to Team Up, New Currency Frenzy",NA,NA,"",NA,NA,NA,"By Amie Tsang",NA
"Some readers say it has to do with intelligence and knowledge gained, while others point to a whole host of factors that could be at play.","https://www.nytimes.com/2016/11/02/upshot/why-does-education-translate-to-less-support-for-donald-trump.html","Some readers say it has to do with intelligence and knowledge gained, while others point to a whole host of factors that could be at play.","It’s probably the biggest demographic story of this election: Hillary Clinton has made big gains with well-educated whites, particularly women. And Donald J. Trump has continued recent Republican gains in winning over less educated whites, particularly men. As Nate Cohn wrote in an article last month, education has replaced the culture wars as the defining electoral divide.",NA,NA,"The New York Times","2016-11-01T13:53:51+0000","article","Upshot","The Upshot","News","nyt://article/b3ee577a-f7be-54dd-ace3-3906baf8a40c",2048,"nyt://article/b3ee577a-f7be-54dd-ace3-3906baf8a40c",NA,"Why Does Education Translate to Less Support for Donald Trump?","Reader Forum",NA,"",NA,NA,NA,"By Toni Monkovic",NA
"The Russian punk protester talks about the election, Putin and her new music video.","https://www.nytimes.com/2016/10/31/opinion/pussy-riots-nadya-trump-should-be-disqualified.html","The Russian punk protester talks about the election, Putin and her new music video.","“Make America Great Again,” a new music video by the Russian punk protest group Pussy Riot, imagines a future in which Donald Trump has won the presidential election.",NA,NA,"The New York Times","2016-11-01T14:21:04+0000","article","Editorial","Opinion","Editorial","nyt://article/efb51466-8608-553b-ae98-e2896c416c24",1255,"nyt://article/efb51466-8608-553b-ae98-e2896c416c24",NA,"Pussy Riot’s Nadya: Trump ‘Should Be Disqualified’","Taking Note",NA,"",NA,NA,NA,"By Phoebe Lett",NA
"Mrs. Clinton’s remarks in Florida signaled the campaign’s direction in the homestretch: a barrage intended to disqualify Mr. Trump with brutal efficiency.","https://www.nytimes.com/2016/11/02/us/politics/donald-trump-speech-obamacare.html","Mrs. Clinton’s remarks in Florida signaled the campaign’s direction in the homestretch: a barrage intended to disqualify Mr. Trump with brutal efficiency.","DADE CITY, Fla. — Hillary Clinton moved on Tuesday to return the nation’s focus to the character and behavior of Donald J. Trump, hoping to define the presidential race again as a referendum on her opponent after spending days in open conflict with the F.B.I.","A","15","The New York Times","2016-11-01T17:22:29+0000","article","National","U.S.","News","nyt://article/7d2f537c-f524-535d-9f37-a5456312c88d",1151,"nyt://article/7d2f537c-f524-535d-9f37-a5456312c88d","Politics","Hillary Clinton, Moving Past F.B.I. Review, Turns Focus to Attacks on Donald Trump",NA,NA,"Clinton, Moving Past F.B.I. Review, Turns Focus to Attacks on Trump",NA,NA,NA,"By Matt Flegenheimer and Yamiche Alcindor",NA
"The candidates head to battleground states; recent polls have better news for Donald J. Trump; the House speaker votes early; and a hip-hop star will stump for Hillary Clinton.","https://www.nytimes.com/2016/11/01/us/politics/presidential-election.html","The candidates head to battleground states; recent polls have better news for Donald J. Trump; the House speaker votes early; and a hip-hop star will stump for Hillary Clinton.","Donald J. Trump and Hillary Clinton are making their closing arguments in the battleground states of Pennsylvania and Florida on Tuesday, courting undecided voters and trying to motivate their supporters with just one week to go until Election Day.",NA,NA,"The New York Times","2016-11-01T19:06:52+0000","article","National","U.S.","News","nyt://article/a173fc27-5622-5905-9f01-e42aac2c385d",542,"nyt://article/a173fc27-5622-5905-9f01-e42aac2c385d","Politics","Presidential Election: Ryan Voted for Trump; Jay Z to Join Clinton",NA,NA,"",NA,NA,NA,"By Alan Rappeport",NA
"Readers discuss the latest developments in the campaign.","https://www.nytimes.com/2016/11/02/opinion/donald-trumps-taxes-and-hillary-clintons-emails.html","Readers discuss the latest developments in the campaign.","To the Editor:","A","24","The New York Times","2016-11-01T19:45:48+0000","article","Letters","Opinion","Letter","nyt://article/7f3afd37-ac61-5467-b4f5-e12d59f22d4e",679,"nyt://article/7f3afd37-ac61-5467-b4f5-e12d59f22d4e",NA,"Donald Trump’s Taxes and Hillary Clinton’s Emails","Letters",NA,"Trump’s Taxes and Clinton’s Emails",NA,NA,NA,"",NA
"Here’s what you need to know at the end of the day.","https://www.nytimes.com/2016/11/01/briefing/clinton-trump-mosul.html","Here’s what you need to know at the end of the day.","(Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-01T22:03:43+0000","article","NYTNow","Briefing","briefing","nyt://article/f11f4b93-35f4-597b-be86-914ff127fad9",805,"nyt://article/f11f4b93-35f4-597b-be86-914ff127fad9",NA,"Clinton, Trump, Mosul: Your Tuesday Evening Briefing",NA,NA,"Your Evening Briefing",NA,NA,NA,"By Karen Zraick and Sandra Stevenson",NA
"When Mr. Trump wants his buildings to seem bigger than they actually are, he enlarges them the same way he has thwarted long odds and defied reality throughout the election season: with sheer bluster.","https://www.nytimes.com/2016/11/02/nyregion/donald-trump-tower-heights.html","When Mr. Trump wants his buildings to seem bigger than they actually are, he enlarges them the same way he has thwarted long odds and defied reality throughout the election season: with sheer bluster.","Of the many rivals Donald J. Trump has accumulated over four decades in business and, now, presidential politics, one of the earliest was a New York City skyscraper with the boldness to stand taller than his own.","A","1","The New York Times","2016-11-01T22:36:21+0000","article","Metro","New York","News","nyt://article/bd6fd16b-41dd-5360-9b35-c14ba9849c20",1413,"nyt://article/bd6fd16b-41dd-5360-9b35-c14ba9849c20",NA,"Donald Trump’s Math Takes His Towers to Greater Heights",NA,NA,"By Fudging Math, Trump Takes His Towers to Greater Heights",NA,NA,NA,"By Vivian Yee",NA
"Having spent his career trying not to pay taxes, why would Donald Trump want to fix the system?","https://www.nytimes.com/2016/11/02/opinion/avoiding-taxes-trump-style.html","Having spent his career trying not to pay taxes, why would Donald Trump want to fix the system?","Donald Trump’s claim that he was smart for figuring out how not to pay federal income taxes was obnoxious when he said it, at least for the millions of Americans who pay their fair share. Now we learn that he was able to avoid some of those taxes decades ago with a tactic that is illegal now and was highly dubious even then.","A","24","The New York Times","2016-11-02T00:10:24+0000","article","Editorial","Opinion","Editorial","nyt://article/3f541411-3606-55a1-8d99-a34364c011b9",540,"nyt://article/3f541411-3606-55a1-8d99-a34364c011b9",NA,"Avoiding Taxes, Trump-Style","Editorial",NA,"Avoiding Taxes, Trump-Style",NA,NA,NA,"By The Editorial Board","The Editorial Board"
"Fellow Americans, your concerns should be taken seriously. But let’s also look seriously at the candidates.","https://www.nytimes.com/2016/11/02/opinion/donald-trump-voters-just-hear-me-out.html","Fellow Americans, your concerns should be taken seriously. But let’s also look seriously at the candidates.","This is my last column until after the election, so I’d like to address the people least likely to read it: Donald Trump voters. Who knows? Maybe I’ll get lucky and a few of them will buy fish wrapped in this column, and they’ll accidentally peruse it! Desperate times call for desperate measures.","A","25","The New York Times","2016-11-02T07:21:05+0000","article","OpEd","Opinion","Op-Ed","nyt://article/b7582fc8-59dc-5911-8ef8-11f2271f0910",916,"nyt://article/b7582fc8-59dc-5911-8ef8-11f2271f0910",NA,"Donald Trump Voters, Just Hear Me Out","Op-Ed Columnist",NA,"Trump Voters, Just  Hear Me Out",NA,NA,NA,"By Thomas L. Friedman",NA
"Will gender be a consistent theme as Hillary Clinton makes her final argument? Will Republicans “come home” to Donald J. Trump? What to look for as Election Day nears.","https://www.nytimes.com/2016/11/02/us/politics/presidential-election.html","Will gender be a consistent theme as Hillary Clinton makes her final argument? Will Republicans “come home” to Donald J. Trump? What to look for as Election Day nears.","With only six days left in the presidential race, Hillary Clinton and Donald J. Trump are working overtime to turn out voters, but their power to shift the direction of the race diminishes every day.",NA,NA,"The New York Times","2016-11-02T09:00:26+0000","article","Politics","U.S.","News","nyt://article/d07a1a2d-75dd-5369-b749-fef51c99eef3",1300,"nyt://article/d07a1a2d-75dd-5369-b749-fef51c99eef3","Politics","Presidential Election: Trump Hits $100 Million in Small Donations in October, Team Says",NA,NA,"",NA,NA,NA,"By Nicholas Confessore, Rachel Shorey, Alexander Burns and Alan Rappeport",NA
"Donald J. Trump’s alienation of key voting blocs has bolstered Democrats in the West and South, and Republicans fear it could be a grim glimpse of their future.","https://www.nytimes.com/2016/11/03/us/politics/donald-trump-waking-a-sleeping-giant-helps-hillary-clinton-build-an-unlikely-firewall.html","Donald J. Trump’s alienation of key voting blocs has bolstered Democrats in the West and South, and Republicans fear it could be a grim glimpse of their future.","CASA GRANDE, Ariz. — Since moving to Arizona 15 years ago, Nieves Lorenzo watched as Hispanics grew in numbers but only haltingly asserted themselves as a political force. Then came Donald J. Trump’s presidential candidacy.","A","1","The New York Times","2016-11-02T09:00:28+0000","article","National","U.S.","News","nyt://article/3c6c28d1-b11a-50ea-80c8-6b9f87234c31",1639,"nyt://article/3c6c28d1-b11a-50ea-80c8-6b9f87234c31","Politics","Trump, Waking a ‘Sleeping Giant,’ Helps Clinton Build an Unlikely Firewall",NA,NA,"In Changing Regions, Trump Makes Inroads for Democrats",NA,NA,NA,"By Jonathan Martin and Alexander Burns",NA
"Many who served in Iraq and Afghanistan are proud of their service but exhausted by its burdens, and they distrust the political class that reshaped their lives.","https://www.nytimes.com/2016/11/03/us/politics/donald-trump-veterans.html","Many who served in Iraq and Afghanistan are proud of their service but exhausted by its burdens, and they distrust the political class that reshaped their lives.","The roster of retired military officers endorsing Hillary Clinton in September glittered with decoration and rank. One former general led the American surge in Anbar, one of the most violent provinces in Iraq. Another commanded American-led allied forces battling the Taliban in Afghanistan. Yet another trained the first Iraqis to combat Islamic insurgents in their own country.","A","1","The New York Times","2016-11-02T16:00:13+0000","article","National","U.S.","News","nyt://article/27289498-bc1b-5fb8-bed6-94bc4fafddf5",1929,"nyt://article/27289498-bc1b-5fb8-bed6-94bc4fafddf5","Politics","Veterans, Feeling Abandoned, Stand by Donald Trump",NA,NA,"Trump Holds Strong Appeal With Veterans",NA,NA,NA,"By Nicholas Confessore",NA
"An anti-Clinton tweet is just the latest example. This language reminds women of what we’ve been through.","https://www.nytimes.com/2016/11/02/opinion/the-power-of-anti-hillary-slurs.html","An anti-Clinton tweet is just the latest example. This language reminds women of what we’ve been through.","One night, after the Democratic convention, I caught a train back to downtown Philadelphia. Some men boarded the train a few stops after me, shouting about Hillary Clinton. I took out my earphones to listen. “She’s a slut who belongs in jail,” one of them said.",NA,NA,"The New York Times","2016-11-02T18:04:48+0000","article","Editorial","Opinion","Editorial","nyt://article/69f6914a-47b1-5f18-a954-96215770e9b8",407,"nyt://article/69f6914a-47b1-5f18-a954-96215770e9b8",NA,"Trump Adviser’s Slur Is a Sign of Things to Come","Editorial Notebook",NA,"",NA,NA,NA,"By Anna North",NA
"According to his disclosure form, the Republican didn’t receive a salary from the 200 companies he lists, so didn’t pay Medicare or Social Security.","https://www.nytimes.com/2016/11/03/opinion/trump-probably-avoided-his-medicare-taxes-too.html","According to his disclosure form, the Republican didn’t receive a salary from the 200 companies he lists, so didn’t pay Medicare or Social Security.","In the final debate, Hillary Clinton said she would secure Social Security and Medicare by raising taxes on high-income earners, including herself and her opponent, Donald J. Trump, “assuming he can’t figure out how to get out of it.”","A","27","The New York Times","2016-11-02T19:25:59+0000","article","OpEd","Opinion","Op-Ed","nyt://article/9a1d0f1f-19ad-53c1-8aab-1fb254a7f4ab",898,"nyt://article/9a1d0f1f-19ad-53c1-8aab-1fb254a7f4ab",NA,"Trump Probably Avoided His Medicare Taxes, Too","Op-Ed Contributors",NA,"Trump Avoided Paying Medicare, Too",NA,NA,NA,"By Fred T. Goldberg Jr. and Michael J. Graetz",NA
"The attack, determined to be arson, reinforced fears of potential violence as a polarizing and racially charged presidential race nears its conclusion.","https://www.nytimes.com/2016/11/03/us/black-church-burned-in-mississippi-with-vote-trump-scrawled-on-side.html","The attack, determined to be arson, reinforced fears of potential violence as a polarizing and racially charged presidential race nears its conclusion.","GREENVILLE, Miss. — A predominantly African-American church here was badly burned on Tuesday evening, with the words “Vote Trump” spray-painted on the side of the building, an episode that comes amid rising concerns over possible violence in the final days of a polarizing and racially charged presidential race.","A","14","The New York Times","2016-11-02T20:16:57+0000","article","National","U.S.","News","nyt://article/b895f598-e836-5af4-9124-c41517729880",955,"nyt://article/b895f598-e836-5af4-9124-c41517729880",NA,"Black Church Burned in Mississippi, With ‘Vote Trump’ Scrawled on Side",NA,NA,"Black Church Is Burned in Mississippi, With ‘Vote Trump’ Scrawled on Side",NA,NA,NA,"By Campbell Robertson and Richard Fausset",NA
"A small subset of the electorate who supported Mr. Obama’s call to change in 2008 and 2012 now hear that message in the Republican nominee.","https://www.nytimes.com/2016/11/03/us/politics/obama-donald-trump-voting.html","A small subset of the electorate who supported Mr. Obama’s call to change in 2008 and 2012 now hear that message in the Republican nominee.","GRANTVILLE, Pa. — It didn’t take long for Jack Morris to regret voting for President Obama. A few months after Mr. Morris, a lifelong Republican, cast his first vote for a Democrat in 2008, he learned that the carpet company where he worked planned to lay off 36 people in Pennsylvania and move his job to Maryland.","A","16","The New York Times","2016-11-02T21:39:10+0000","article","National","U.S.","News","nyt://article/6ba8ff46-ceb5-559e-aad2-2c0574ab7de8",1255,"nyt://article/6ba8ff46-ceb5-559e-aad2-2c0574ab7de8","Politics","Some Who Saw Change in Obama Find It Now in Donald Trump",NA,NA,"Some Voters Attracted to Obama’s Call for Change Find It Now in Trump",NA,NA,NA,"By Yamiche Alcindor",NA
"Senator Richard Burr has been copying Donald Trump’s rhetoric about gun rights and Hillary Clinton.","https://www.nytimes.com/2016/11/02/opinion/a-senators-bullseye-joke-echoes-trump.html","Senator Richard Burr has been copying Donald Trump’s rhetoric about gun rights and Hillary Clinton.","Echoes of Donald Trump’s worst campaign instincts — on gun control and the news media — are registering down ballot in North Carolina, a crucial toss-up state where Senator Richard Burr, a Republican, is in a tight re-election race.",NA,NA,"The New York Times","2016-11-02T21:46:36+0000","article","Editorial","Opinion","Editorial","nyt://article/ba85b5fd-79b9-5703-a438-b5e778960ddc",328,"nyt://article/ba85b5fd-79b9-5703-a438-b5e778960ddc",NA,"A Senator’s ‘Bullseye’ Joke Echoes Trump","Taking Note",NA,"",NA,NA,NA,"By Francis X. Clines",NA
"You can’t say yes to Trump and yes to common decency.","https://www.nytimes.com/2016/11/03/opinion/campaign-stops/trump-is-an-existential-threat.html","You can’t say yes to Trump and yes to common decency.","There are only a handful of days until Election Day and an end to this phase of a nation’s — and the world’s — ebb and flow of anxiety. The day after the votes are cast and counted that anxiety will either dissipate or become a fixed feature. Which of these it will be is very much in flux.",NA,NA,"The New York Times","2016-11-03T07:21:25+0000","article","OpEd","Opinion","Op-Ed","nyt://article/3fd267a9-e76b-5a46-98aa-c2d19fa0e87d",873,"nyt://article/3fd267a9-e76b-5a46-98aa-c2d19fa0e87d","Campaign Stops","Trump Is an Existential Threat","Op-Ed Columnist",NA,"",NA,NA,NA,"By Charles M. Blow",NA
"With Donald Trump, we’d have our own Kim Jong-un.","https://www.nytimes.com/2016/11/03/opinion/5-reasons-to-vote-trump.html","With Donald Trump, we’d have our own Kim Jong-un.","1.) Who needs experience to be president? It’s true that Donald Trump would have less public service experience than any president in American history, but knowledge is lame. Maybe the Know-Nothing Party in the 19th century captured this spirit in its name — and Trump is the apotheosis of knowing-nothing. In my journalistic career, I’ve never met a national candidate as ill informed, evasive or puerile as Donald Trump.","A","27","The New York Times","2016-11-03T07:21:25+0000","article","OpEd","Opinion","Op-Ed","nyt://article/a1afef1c-4a2d-5d0a-b319-5e30cde20626",822,"nyt://article/a1afef1c-4a2d-5d0a-b319-5e30cde20626",NA,"5 Reasons to Vote Trump","Op-Ed Columnist",NA,"5 Reasons  to Vote Trump",NA,NA,NA,"By Nicholas Kristof",NA
"Ms. Trump and Mr. Sanders hit the campaign trail as Hillary Clinton and Donald J. Trump barnstormed across North Carolina on Thursday.","https://www.nytimes.com/2016/11/03/us/politics/presidential-election.html","Ms. Trump and Mr. Sanders hit the campaign trail as Hillary Clinton and Donald J. Trump barnstormed across North Carolina on Thursday.","Hillary Clinton and Donald J. Trump barnstormed across North Carolina on Thursday, each seeking to bolster support in a battleground state that has switched from Democrat to Republican in the past eight years.",NA,NA,"The New York Times","2016-11-03T09:00:16+0000","article","National","U.S.","News","nyt://article/31b4a09a-fbb4-524b-af71-ac75946505b6",596,"nyt://article/31b4a09a-fbb4-524b-af71-ac75946505b6","Politics","Presidential Election: Melania Trump and Bernie Sanders to the Rescue",NA,NA,"",NA,NA,NA,"By Maggie Haberman",NA
"Revelations that Donald J. Trump paid no federal income tax for years, or decades, have energized bipartisan efforts to overhaul the loophole-ridden tax code.","https://www.nytimes.com/2016/11/04/business/a-rare-moment-of-unity-on-capitol-hill-thanks-to-trumps-taxes.html","Revelations that Donald J. Trump paid no federal income tax for years, or decades, have energized bipartisan efforts to overhaul the loophole-ridden tax code.","There may be a silver lining in the revelation that Donald J. Trump paid no federal income tax for years or even decades: a comprehensive overhaul of the nation’s loophole-riddled revenue-gathering system.","B","1","The New York Times","2016-11-03T09:00:28+0000","article","Business","Business Day","News","nyt://article/7c8d9545-1a8e-57ca-a3db-4b3bd3a21277",1517,"nyt://article/7c8d9545-1a8e-57ca-a3db-4b3bd3a21277",NA,"A Rare Moment of Unity on Capitol Hill, Thanks to Trump’s Taxes","Common Sense",NA,"Momentum for Tax Reform, Thanks to Trump’s Tactics",NA,NA,NA,"By James B. Stewart",NA
